0.5	-2.8	-4.4	-5.9	-8.9	-11.7	-18.2	-24.2
0.6	-2.8	-4.3	-5.8	-8.6	-11.4	-17.6	-23.3
1.1	-1.5	-2.6	-4	-6.3	-8.7	-13.9	-18.7
2.4	0.3	-0.5	-1.3	-3	-4.5	-8.3	-11.8
2.9	2.4	1.8	1.4	0.6	-0.2	-2.2	-4
4	4	4	4	4	4	4	4
5.1	5.6	6.1	6.5	7.3	8.1	10.3	12.5
5.6	7.2	8	9	10.6	12.4	17.1	22.2
6.2	8.8	10.2	11.3	14.2	17.1	24.8	33.8
7.4	10.5	12.3	14.1	17.8	21.9	33.4	44
7.7	11.7	13.9	16.1	20.8	25.9	41	44
7.7	11.7	13.9	16	20.9	26.1	42	44
6.9	10.2	12	13.6	17.5	21.5	33.7	44
6.1	8	9.1	10.1	12.5	15	21.9	30.6
5.1	6.1	6.3	6.8	7.9	8.9	11.9	15.2
4	4	4	4	4	4	4	4
2.9	2.4	1.9	1.5	0.7	-0.1	-2.3	-4.5
2.4	0.8	0	-0.8	-2.3	-3.8	-7.5	-11.3
1.8	-0.4	-1.8	-2.9	-4.8	-7	-12.1	-17.1
0.6	-2.5	-3.4	-4.6	-7.4	-9.9	-15.9	-21.6
0.5	-2.8	-4.4	-5.9	-8.9	-11.7	-18.2	-24.2
